,title,description,tags,release_date,ISBN_number,publisher,author_name,author_birth_year,pages,related_courses,format,rating,edition,title_corrected,description_corrected
0,Introducton to Python Programming,"A comprehensve guide to learnng Pythn programmnig for begnners and experts alke. Covering data structures, algorthms, and applcatons.","['Python', 'Programming', 'Data Structures', 'Algorithms']",2020-05-15,978-3-16-148410-0,TechBooks Inc.,Lindsey Stirling,1986.0,,,,,,Introduction to Python Programming,"A comprehensive guide to learning Pythn programming for beginners and experts alike . Covering data structures , algorithms , and applications ."
1,The Art of Cybersecurity,Explore the artstc sde of cybersecurity through real-world examples and creatve problem-solvn techniques.,"['Cybersecurity', 'Art', 'Problem-solving']",2018-10-20,978-1-25-846732-2,SecurePress,Lindsey Stirling,1986.0,,,,,,The Art of Cybersecurity,Explore the artistic side of cybersecurity through real - world examples and creative problem - solving techniques .
2,Netwokr Security Essentials,An introduction to network security principles and practices.,"['network security', 'cybersecurity', 'encryption']",2009-08-11,9780136108054,Pearson Education,Lindsey Stirling,1986.0,,,,,,Network Security Essentials,An introduction to network security principles and practices .
3,Introduktion to Informatics,A compreensive guide to the fundamentels of informatics and computer science.,"['informatics', 'computer science', 'education']",2014-06-15,978-0-13-212271-9,,Jennifir Smith,1985.0,,,,,,Introduktion to Informatics,A comprehensive guide to the fundamentals of informatics and computer science .
4,Data Structures and Algorithms: A Practical Approach,This book covers essential data structures and algorithms for IT students.,"['data structures', 'algorithms', 'IT education']",2017-09-20,978-0-13-428261-1,,Jennifir Smith,1985.0,,,,,,Data Structures and Algorithms : A Practical Approach,This book covers essential data structures and algorithms for IT students .
5,Cybersecurity Essentials,An introductory book on cybersecurity concepts and practices for beginners in IT education.,"['cybersecurity', 'network security', 'IT fundamentals']",2019-04-10,978-1-119-52589-6,,Jennifir Smith,1985.0,,,,,,Cybersecurity Essentials,An introductory book on cybersecurity concepts and practices for beginners in IT education .
6,The Art of Coding: A Comprehensive Guide,"This book covers a wide range of programming languages and concepts, including Python, Java, and web development.","['coding', 'programming', 'Python', 'Java', 'web development']",2022-08-15,978-1-2345-6789-0,TechPub Inc.,Jennifir Smith,1985.0,,,,,,The Art of Coding : A Comprehensive Guide,"This book covers a wide range of programming languages and concepts , including Python , Java , and web development ."
7,The Fundamentels of Network Security,A comprehensive guide to network security principles and best practices.,"['network', 'security', 'cybersecurity']",2020-06-15,978-1-2345-6789-0,TechPress,Jennifir Smith,1985.0,320.0,,,,,The Fundamentals of Network Security,A comprehensive guide to network security principles and best practices .
8,The Art of Computer Sicence,A comprehensive guide to computer sicence principles and practices.,"['computer', 'sicence', 'education']",2015-08-20,978-0-13-407642-3,,Xavier Smith,1978.0,,,,,,The Art of Computer Science,A comprehensive guide to computer science principles and practices .
9,Netwroking Fundementals,Exploring the fundementals of netwroking in an educational context.,"['netwroking', 'fundementals', 'IT']",2012-05-10,978-1-58713-366-6,,Xavier Smith,1978.0,,,,,,Networking Fundamentals,Exploring the fundamentals of networking in an educational context .
10,Cybersecurity Essentials,Essential concepts of cybersecurity for IT students and professionals.,"['cybersecurity', 'essentials', 'education']",2017-11-30,978-1-58713-345-1,,Xavier Smith,1978.0,,,,,,Cybersecurity Essentials,Essential concepts of cybersecurity for IT students and professionals .
11,Pythn Programming for Beginners,Learn Python programming from scratch with hands-on examples and exercises.,"['Python', 'programming', 'beginners']",2019-03-20,978-1-59327-603-4,,Xavier Smith,1978.0,,,,,,Match Programming for Beginners,Learn Python programming from scratch with hands - on examples and exercises .
12,The Art of Computer Science,A compreensive guide to computer science principles and practices.,"['computer', 'science', 'guide']",2015-08-20,978-0-13-359414-0,,Xavier Smith,1978.0,,"['Algorithms', 'Data Structures']",,,,The Art of Computer Science,A comprehensive guide to computer science principles and practices .
13,Introducton to Dta Science,A comprehensive guide to data science concepts and techniques for beginners.,"['data', 'science', 'beginners']",2020-06-15,978-0-13-485204-6,,Xavieer Smith,1985.0,,,,,,introduction to Data Science,A comprehensive guide to data science concepts and techniques for beginners .
14,Pythn Programming for Beginners,Learn Python programming from scratch with hands-on examples and exercises.,"['Python', 'programming', 'beginners']",2019-03-20,978-1-59327-603-4,,Xavieer Smith,1985.0,,,,,,Match Programming for Beginners,Learn Python programming from scratch with hands - on examples and exercises .
